icon_id,set_id,set_name,label,category,normalized_path,foreground_area_ratio,canny_edge_density,connected_components,quadtree_leaf_count,quadtree_structural_variability,quadtree_mean_leaf_size
10150c64373696d7,07_arasaac_pictograms,ARASAAC Pictograms,famous,qualifying adjective; character; mass media,icon_data/normalized_256/07_arasaac_pictograms/10202__10150c643736.png,0.4057769775390625,0.067474365234375,9.0,1288.0,0.314453125,50.88198757763975
10234615d20909f9,03_mapbox_maki_icons,Mapbox Maki,bbq,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/bbq__10234615d209.png,0.5496826171875,0.002105712890625,1.0,856.0,0.208984375,76.5607476635514
10635378bfac6cb2,03_mapbox_maki_icons,Mapbox Maki,car rental,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/car_rental__10635378bfac.png,0.5974578857421875,0.0081787109375,1.0,841.0,0.205322265625,77.92627824019024
10a12861bfd41cb7,03_mapbox_maki_icons,Mapbox Maki,elevator,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/elevator__10a12861bfd4.png,0.6188812255859375,0.0,1.0,556.0,0.1357421875,117.87050359712231
11df3d2ef52a9285,03_mapbox_maki_icons,Mapbox Maki,hospital JP,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/hospital_jp__11df3d2ef52a.png,0.6031494140625,0.0,1.0,676.0,0.1650390625,96.94674556213018
11ea7bbb3c0148a7,09_universal_symbols_healthcare_webfont,Universal Symbols Healthcare Webfont,hearing assistance,healthcare wayfinding,icon_data/normalized_256/09_universal_symbols_healthcare_webfont/hearing_assistance__11ea7bbb3c01.png,0.984375,0.044097900390625,1.0,1.0,0.000244140625,65536.0
12cf36cf5b20fc8d,03_mapbox_maki_icons,Mapbox Maki,gift,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/gift__12cf36cf5b20.png,0.684356689453125,0.0042877197265625,1.0,682.0,0.16650390625,96.09384164222874
12e2f10d59d0772a,10_openmoji,OpenMoji,flag: Antigua & Barbuda,flags / country-flag,icon_data/normalized_256/10_openmoji/1f1e6_1f1ec__12e2f10d59d0.png,0.4964141845703125,0.0307159423828125,1.0,670.0,0.16357421875,97.81492537313433
131fda2e216ddd79,10_openmoji,OpenMoji,flag: Sark,flags / country-flag,icon_data/normalized_256/10_openmoji/1f1e8_1f1f6__131fda2e216d.png,0.329193115234375,0.0365447998046875,1.0,844.0,0.2060546875,77.64928909952607
1364c5b7cd9ecbbf,01_mcdougall_symbol_icon_set,McDougall Symbol/Icon Set,McDougall item 28,,icon_data/normalized_256/01_mcdougall_symbol_icon_set/mcdougall_028__1364c5b7cd9e.png,0.1134796142578125,0.0211029052734375,1.0,235.0,0.057373046875,278.87659574468086
137eeebdee24eb53,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,civil military coordination,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/civil_military_coordination__137eeebdee24.png,0.502105712890625,0.0438995361328125,7.0,1462.0,0.35693359375,44.82626538987688
13a78b0fc670a3e7,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga exit,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_exit__13a78b0fc670.png,0.587066650390625,0.018707275390625,2.0,838.0,0.20458984375,78.20525059665871
1407da7245b3d6fa,03_mapbox_maki_icons,Mapbox Maki,dam,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/dam__1407da7245b3.png,0.516082763671875,0.00555419921875,1.0,679.0,0.165771484375,96.51840942562592
144d12d90e76961e,07_arasaac_pictograms,ARASAAC Pictograms,fondue,gastronomy,icon_data/normalized_256/07_arasaac_pictograms/10226__144d12d90e76.png,0.337432861328125,0.07147216796875,1.0,1030.0,0.25146484375,63.627184466019415
