rank,distance,source_icon_id,source_set_id,source_set_name,source_label,source_category,source_normalized_path,target_icon_id,target_set_id,target_set_name,target_label,target_category,target_normalized_path
58,0.9459464568488557,315c1a46ae0e5e14,03_mapbox_maki_icons,Mapbox Maki,cemetery,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/cemetery__315c1a46ae0e.png,ded26fef294285a1,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,community building,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/community_building__ded26fef2942.png
59,0.9514634265457577,68f89210db68f8ec,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,AIGA information,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_information__68f89210db68.png,fd46387c8add6704,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,damaged affected,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/damaged_affected__fd46387c8add.png
60,0.952133486525659,315c1a46ae0e5e14,03_mapbox_maki_icons,Mapbox Maki,cemetery,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/cemetery__315c1a46ae0e.png,483ec0cd8c82a61d,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,clinic,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/clinic__483ec0cd8c82.png
61,0.9524796779179823,45259ed2dab5f658,13_usp_pictograms_manual,USP Pictograms,76,medication instruction,icon_data/normalized_256/13_usp_pictograms_manual/76__45259ed2dab5.png,f827e42afce0851c,06_blissymbolics,Blissymbolics,birth,Blissymbolics char,icon_data/normalized_256/06_blissymbolics/birth_5b6c23b9f4c8__f827e42afce0.png
62,0.9542576777995037,1fbf9d60526c0768,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,add,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/add__1fbf9d60526c.png,45d94eaae0a915ae,03_mapbox_maki_icons,Mapbox Maki,hospital,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/hospital__45d94eaae0a9.png
63,0.9598689651862053,161d8c4c3de951fb,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W014,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w014__161d8c4c3de9.png,71bd84f092815ba6,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,epidemic,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/epidemic__71bd84f09281.png
64,0.9617603630042879,7ec398ff09ac8543,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,camp coordination and camp management,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/camp_coordination_and_camp_management__7ec398ff09ac.png,b8d532b96649ad9b,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W015,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w015__b8d532b96649.png
65,0.9629856810449273,a09e21ebdedab5a7,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,agriculture,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/agriculture__a09e21ebdeda.png,ce262294a18e33a8,13_usp_pictograms_manual,USP Pictograms,65,medication instruction,icon_data/normalized_256/13_usp_pictograms_manual/65__ce262294a18e.png
66,0.9637925998436369,b968762ee8180718,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga nosmoking,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_nosmoking__b968762ee818.png,ce2045d9f501bec1,03_mapbox_maki_icons,Mapbox Maki,circle,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/circle__ce2045d9f501.png
67,0.9648605709296404,0ca7c67b9607dd2a,13_usp_pictograms_manual,USP Pictograms,47,medication instruction,icon_data/normalized_256/13_usp_pictograms_manual/47__0ca7c67b9607.png,672c5ac5c05045ac,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W022,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w022__672c5ac5c050.png
