method,variant,k,cluster,size,top_sets,representative_icon_ids
hierarchical,metadata,7,4,2,"[[""McDougall Symbol/Icon Set"", 2]]",af8efb82a3eaf250 2dfb8baa45944a16
hierarchical,metadata,7,5,1,"[[""McDougall Symbol/Icon Set"", 1]]",b5c1200b37f8968d
hierarchical,metadata,7,6,119,"[[""AIGA/DOT Symbol Signs"", 10], [""Mapbox Maki"", 10], [""OCHA Humanitarian Icons"", 10], [""Mulberry Symbols"", 10], [""Blissymbolics"", 10]]",f81f3d24abe2590e 60fafea65eec88ff 8ccac8fbcc5ef442 520986b8f519cbf8 34ba5b6f56c34d2d 0a8d3ea6a14b7694 a6380f9f07fe0748 8419e26eaf8a2ed7
hierarchical,metadata,10,0,1,"[[""McDougall Symbol/Icon Set"", 1]]",38fcc454e8b76e8a
hierarchical,metadata,10,1,2,"[[""McDougall Symbol/Icon Set"", 2]]",671222e19754e444 121de65a284465c5
hierarchical,metadata,10,2,1,"[[""McDougall Symbol/Icon Set"", 1]]",3167ff62be4a1ae7
hierarchical,metadata,10,3,1,"[[""McDougall Symbol/Icon Set"", 1]]",7cb54d2ffd287b95
hierarchical,metadata,10,4,1,"[[""McDougall Symbol/Icon Set"", 1]]",c0b01f650a9f3047
hierarchical,metadata,10,5,1,"[[""McDougall Symbol/Icon Set"", 1]]",af8efb82a3eaf250
hierarchical,metadata,10,6,1,"[[""McDougall Symbol/Icon Set"", 1]]",276e0f48b2aecf30
hierarchical,metadata,10,7,1,"[[""McDougall Symbol/Icon Set"", 1]]",b5c1200b37f8968d
hierarchical,metadata,10,8,1,"[[""McDougall Symbol/Icon Set"", 1]]",2dfb8baa45944a16
hierarchical,metadata,10,9,119,"[[""AIGA/DOT Symbol Signs"", 10], [""Mapbox Maki"", 10], [""OCHA Humanitarian Icons"", 10], [""Mulberry Symbols"", 10], [""Blissymbolics"", 10]]",f81f3d24abe2590e 60fafea65eec88ff 8ccac8fbcc5ef442 520986b8f519cbf8 34ba5b6f56c34d2d 0a8d3ea6a14b7694 a6380f9f07fe0748 8419e26eaf8a2ed7
kmeans,combined,3,0,74,"[[""Mulberry Symbols"", 10], [""ARASAAC Pictograms"", 10], [""ISO 15223 Medical Device Symbols"", 10], [""AIGA/DOT Symbol Signs"", 9], [""OpenMoji"", 9]]",34ba5b6f56c34d2d 59f7cf4b24c41dc4 47e3bd73efa382ae f81f3d24abe2590e a51195a2d92d9ff2 bd7774dcad9acd79 d35e50aec0a064c5 e0760c68f28e0892
kmeans,combined,3,1,45,"[[""ISO 7010 Safety Signs"", 10], [""USP Pictograms"", 10], [""Blissymbolics"", 8], [""OCHA Humanitarian Icons"", 6], [""Universal Symbols Healthcare Webfont"", 5]]",0f0ba10ef3a52533 672c5ac5c05045ac 3ae85d1803f6fd0e 5d96dfc9b1190032 35be32b4253e6b7e 8eb2ae5e436bf3d9 1bf6d6502e22fd36 e93973679234ed81
kmeans,combined,3,2,10,"[[""McDougall Symbol/Icon Set"", 10]]",c0b01f650a9f3047 2dfb8baa45944a16 3167ff62be4a1ae7 276e0f48b2aecf30 671222e19754e444 b5c1200b37f8968d af8efb82a3eaf250 121de65a284465c5
kmeans,combined,5,0,44,"[[""AIGA/DOT Symbol Signs"", 10], [""Mapbox Maki"", 10], [""Universal Symbols Healthcare Webfont"", 7], [""OpenMoji"", 7], [""Mulberry Symbols"", 5]]",bbdb16044679062a 633d125136da3e33 34ba5b6f56c34d2d 47e3bd73efa382ae bd7774dcad9acd79 e0760c68f28e0892 ca282d9b8d67354b c4317c54e3675826
kmeans,combined,5,1,10,"[[""McDougall Symbol/Icon Set"", 10]]",c0b01f650a9f3047 2dfb8baa45944a16 3167ff62be4a1ae7 276e0f48b2aecf30 671222e19754e444 b5c1200b37f8968d af8efb82a3eaf250 121de65a284465c5
kmeans,combined,5,2,15,"[[""ARASAAC Pictograms"", 8], [""Mulberry Symbols"", 5], [""OpenMoji"", 2]]",ab4c6a5c76f157ea 8419e26eaf8a2ed7 f81f3d24abe2590e 0a8d3ea6a14b7694 651ed6b48d4e4ce0 7e81760c1b53d064 a6380f9f07fe0748 255623028b70fd39
kmeans,combined,5,3,39,"[[""ISO 7010 Safety Signs"", 10], [""USP Pictograms"", 10], [""Blissymbolics"", 8], [""OCHA Humanitarian Icons"", 6], [""Universal Symbols Healthcare Webfont"", 3]]",672c5ac5c05045ac 3ae85d1803f6fd0e 8eb2ae5e436bf3d9 5d96dfc9b1190032 0f0ba10ef3a52533 35be32b4253e6b7e 1bf6d6502e22fd36 969d2464f703154e
kmeans,combined,5,4,21,"[[""ISO 15223 Medical Device Symbols"", 10], [""GHS Hazard Pictograms"", 8], [""Blissymbolics"", 2], [""ARASAAC Pictograms"", 1]]",e6e2d33ceb0e83af d176e3613fd2e8ca 0dbe74d0ea5067c3 f1c82e0e3033e0f2 4ce46f5f8d9a06ef 0db27129c0b71a97 e6a519ba8dd89268 9875309b29ecca62
kmeans,combined,7,0,21,"[[""Mulberry Symbols"", 10], [""OpenMoji"", 9], [""ARASAAC Pictograms"", 2]]",34ba5b6f56c34d2d 9099811c08fecfa1 f81f3d24abe2590e 960c8c87ff30f1bf 0a8d3ea6a14b7694 d35e50aec0a064c5 59f7cf4b24c41dc4 8419e26eaf8a2ed7
kmeans,combined,7,1,6,"[[""ARASAAC Pictograms"", 6]]",255623028b70fd39 ab4c6a5c76f157ea 52c97289f9c9f6dc a8150b5836fa8340 97bbfcfc069b7629 4ca95e3d476453ba
